Tx Component	Tx AE	Tx segment	Tx Port	Rx Port	Message Signals	Function Variable	Rx Component	Rx segment	Rx AE
EMD1	AE462 Engine Information provider	Red	E 	ICL	EEC1.EngineSpeed	FV396 EngineSpeed	ICL3	Yellow	AE762 FR106-Trip Computer
EMD1	AE462 Engine Information provider	Red	E 	ICL	FuelConsumption.TotalFuelUsed	FV441 FuelRate	ICL3	Yellow	AE762 FR106-Trip Computer
EMD1	AE462 Engine Information provider	Red	E 	ICL	FuelEconomy.FuelRate	FV441 FuelRate	ICL3	Yellow	AE762 FR106-Trip Computer
EMD1	AE462 Engine Information provider	Red	E 	ICL	EI.EngMassFlow	FV441 FuelRate	ICL3	Yellow	AE762 FR106-Trip Computer
EMD1	AE462 Engine Information provider	Red	E 	ICL	GFC.TotalFuelUsed	FV441 FuelRate	ICL3	Yellow	AE762 FR106-Trip Computer
TMS2	AE132 HMSC - Hybrid Master Control	Red	HMS	ICL		FV1421 ElectricDriveMode	ICL3	Yellow	AE762 FR106-Trip Computer
COO8	AE185 PowerCoordinator	Yellow	K	ICL	GPM2.PowerCoordinatorEngineState	FV21 PowerCoordinatorEngineState	ICL3	Yellow	AE762 FR106-Trip Computer
BCI2	AE43 PTO Manager	Yellow	BCI	ICL	PTOInformationProp.PTO_Engaged	FV324 PTO_Engaged	ICL3	Yellow	AE762 FR106-Trip Computer
TCO1	AE15 Tachograph	Yellow	TCO	ICL	TCO1.TCOVehSpeed	FV407 TachographVehicleSpeed	ICL3	Yellow	AE762 FR106-Trip Computer
TCO1	AE15 Tachograph	Yellow	TCO	ICL	HiResVehicleDist.HighResolTotalVehicleDistance	FV192 HighResolutionTotalVehicleDistance	ICL3	Yellow	AE762 FR106-Trip Computer
COO8	AE31 Vehicle Speed Manager	Yellow	TCO	ICL	TCO1.TCOVehSpeed	FV407 TachographVehicleSpeed	ICL3	Yellow	AE762 FR106-Trip Computer
COO8	AE383 Odometer Mileage	Yellow	TCO	ICL	HiResVehicleDist.HighResolTotalVehicleDistance	FV192 HighResolutionTotalVehicleDistance	ICL3	Yellow	AE762 FR106-Trip Computer
